Ciudad,Bodega,Código,Nombre,Cantidad,P.Ult.Comp,Costo Lista,Tipo,Línea
LS - Barrio Industrial   ,B14,1301215                        ,PALA VIRUTEX VAIVEN AZUL CON BANDA,5,4433,4924,DESCONTINU,ASEO                                    
LS - Barrio Industrial   ,B14,1301293                        ,LIMPIADOR TREMEX MULTI. AMONIO CUATERNARIO 5L,8,6290,6290,STOCK,ASEO                                    
LS - Barrio Industrial   ,B14,1301326                        ,ALCOHOL ARENS PLUS 70% C/COBRE 5LT,1,8500,0,F MAESTRA,ASEO                                    
LS - Barrio Industrial   ,B14,1301404                        ,(((BOLSAS DE BASURA VIRUTEX CLASICA 80X110 10UN))),1,825,958,DESCONTINU,ASEO                                    
LS - Barrio Industrial   ,B14,1301435                        ,CLORO CONCENTRADO IMPEKE FORTE 1KG,77,645,645,BLOQUEO-L,ASEO                                    
LS - Barrio Industrial   ,B14,1301479                        ,DETERGENTE OMO MATIC POLVO BOLSA 400G,1,810,810,A PEDIDO,ASEO                                    
LS - Barrio Industrial   ,B14,1301554                        ,DESODORANTE AMB GLADE RPTO AUTO LAV/VAINIL,35,4887,4887,BLOQUEO-L,ASEO                                    
LS - Barrio Industrial   ,B14,1301582                        ,BOLSA BASURA VTX PRO 50X70 10UN,488,329,397,DESCONTINU,ASEO                                    
LS - Barrio Industrial   ,B14,1302543                        ,DISPENSADOR VIRGINIA DE JABON 1LT,3,6572,6572,STOCK,ASEO                                    
LS - Barrio Industrial   ,B14,1801203                        ,PAPEL MANTEQUILLA DIAZOL 80X100 40GR,490,96,95.6,F MAESTRA,LIBRERÍA                                
LS - Barrio Industrial   ,B14,2004022                        ,MARCADOR STABILO PERMANENTE PTA REDONDA AZUL,7,274,0,DESCONTINU,LIBRERÍA                                
LS - Barrio Industrial   ,B14,2220332                        ,ARCH TORRE TOP OFICIO AZUL OSCURO 518H,20,2585,2585,STOCK,LIBRERÍA                                
LS - Barrio Industrial   ,B14,2220404                        ,ARCH AUCA CARTA ANCHO L8,261,1185,1185,STOCK,LIBRERÍA                                
LS - Barrio Industrial   ,B14,2220500                        ,VISOR PLASTICO TORRE 50UN,96,1405,1405,STOCK,LIBRERÍA                                
LS - Barrio Industrial   ,B14,2220560                        ,CARPETA TORRE CARTULINA FLUORESCENTE 6PL/6COL,23,1075,1075,STOCK,LIBRERÍA                                
